group_code,name
1301,焰火
1301,爆竹
1301,煙火
1301,玩砲
1301,沖天砲
1301,水鴛鴦炮
1301,連珠炮
1301,電光炮
1301,龍炮
1301,單響炮
1301,摔炮
1301,爆竹用導火線
1301,蜂炮
1301,表演用火炬
1301,慶典用聲響炮
1301,信號煙火
1301,煙火產品
1301,火花棒
1301,鞭炮
1302,彈藥
1302,子彈
1302,砲彈
1302,魚雷
1302,地雷
1302,水雷
1302,手榴彈
1302,照明彈
1302,煙幕彈
1302,火箭筒
1302,火箭砲
1302,飛彈
1302,雷管
1302,彈袋
1302,砲架
1302,槍盒
1302,槍袋
1302,槍套
1302,來福槍
1302,手槍
1302,槍管
1302,彈匣
1302,扳機
1302,槍砲上之準星
1302,槍砲瞄準用表尺
1302,槍砲照尺
1302,彈夾
1302,穿甲彈
1302,武器型空氣槍
1302,炸裂品
1302,砲塔
1302,機關槍
1302,炸藥
1302,通槍器
1302,炸彈
1302,彈殼
1302,引爆器
1302,建築土木工程用火藥筒
1302,步槍
1302,火器
1302,加農砲
1302,高射砲
1302,催淚瓦斯武器
1302,散彈槍
1302,卡賓槍
1302,乙炔硝化棉
1302,大砲
1302,彈藥箱
1302,槍砲清潔刷
1302,導向飛彈
1302,步槍扳機保險
1302,槍托
1302,子彈盒
1302,起爆栓
1302,槍撞針
1302,獵槍
1302,火藥
1302,硝酸銨炸藥
1302,彈道飛彈
1302,兵器用子彈帶
1302,彈藥帶
1302,自動武器用彈藥帶
1302,槍身
1302,子彈帶充填裝置
1302,彈藥裝填裝置
1302,彈藥筒
1302,來福槍盒
1302,火藥棉
1302,非玩具用雷管
1302,爆炸物引線
1302,引爆栓
1302,炸藥粉
1302,槍砲瞄準器
1302,砲台
1302,爆炸性煙霧信號彈
1302,爆炸用引信
1302,地雷用引信
1302,槍膛
1302,彈藥粉
1302,槍用擊鎚
1302,魚叉槍
1302,槍用瞄準器
1302,槍
1302,火藥包
1302,狩獵用鉛彈
1302,迫擊砲
1302,槍用消音器
1302,角製火藥筒
1302,引線用點火藥
1302,可鎔硝棉
1302,左輪槍
1302,來福槍用擊鎚
1302,來福槍用瞄準器
1302,來福槍用扳機護圈
1302,火箭發射器
1302,信號用火箭
1302,火箭
1302,兵器用肩帶
1302,運動用槍
1302,槍後膛
1302,戰車
1302,槍用扳機護圈
1302,重兵器用砲耳
1302,攜帶用武器
1302,軍火器
1302,爆裂物
1302,彈藥袋
1302,火藥筒
1302,望遠瞄準器以外的槍砲瞄準器
1302,隨身武器（火器）
1303,個人防護用噴霧器
1303,防身噴霧器
1303,防身瓦斯槍
