group_code,name,
290801,椰子粉,
290801,洋菜粉,
290801,黃豆,
290801,香菇,
290801,筍干,
290801,薏仁,
290801,乾製蔥頭,
290801,金針,
290801,芝麻,
290801,紫菜,
290801,果仁,
290801,乾海帶,
290801,山粉圓,
290801,蓮子,
290801,菜捲,
290801,夏威夷果,
290801,黑豆,
290801,冷凍果蔬,
290801,乾製果蔬,
290801,花生仁罐頭,
290801,乾製花生,
290801,玉米罐頭,
290801,玉米醬,
290801,乾製愛玉子,
290801,冷凍榴槤,
290801,果肉,
290801,乾製棗,
290801,海棗果實,
290801,水果沙拉,
290801,生菜沙拉,
290801,冷凍水果,
290801,果皮,
290801,烹調用蔬菜汁,
290801,烹調用蕃茄汁,
290801,蕃茄泥,
290801,蔬菜罐頭,
290801,乾製蔬菜,
290801,蔬菜沙拉,
290801,經保存處理的松露,
290801,加工過的花生,
290801,經保存處理的扁豆,
290801,經保存處理的洋蔥,
290801,經保存處理的豌豆,
290801,經保存處理的橄欖,
290801,經保存處理的豆,
290801,經保存處理的堅果,
290801,經保存處理的蘑菇,
290801,開心果,
290801,馬鈴薯薄片,
290801,馬鈴薯片,
290801,低脂馬鈴薯片,
290801,水果片,
290801,烤地瓜,
290801,經保存處理的水果,
290801,經保存處理的蔬菜,
290801,烹調過的蔬菜,
290801,甜椒泥,
290801,加工過的葵花籽,
290801,蔬菜製慕斯,
290801,加工過的種子,
290801,食用預製蘆薈,
290802,酸梅,
290802,蜜梅,
290802,仙楂片,
290802,仙楂餅,
290802,蜜餞,
290802,陳皮梅,
290802,黑金棗干,
290802,脆梅,
290802,金桔餅,
290802,蜜橄欖,
290802,八仙果,
290802,烏梅,
290802,蜜金棗,
290802,芒果青,
290802,脫水果蔬,
290802,香蕉乾,
290802,無花果乾,
290802,以水果為主的零食,
290802,香菇酥,
290802,紫菜酥,
290802,紅毛苔酥,
290802,果醬,
290802,水果抹醬,
290802,蔓越莓醬,
290802,帶碎果皮的果醬,
290802,鷹嘴豆醬,
290802,糖漬果蔬,
290802,芝麻醬,
290802,鳳梨乾,
290802,罐裝什錦水果,
290802,炸薯條,
290802,油炸果蔬片,
290802,油炸馬鈴薯薄片,
290802,蠶豆酥,
290802,脫水蔬菜,
290802,水果丁罐頭,
290802,水果泥,
290802,水果罐頭,
290802,醃梅,
290802,梅粉,
290802,葡萄乾,
290802,油炸馬鈴薯片,
290802,洋芋片,
290802,馬鈴薯餅,
290802,酒漬水果,
290802,燉熟水果,
290802,糖漬水果,
290802,經保存處理的松露,
290802,加工過的花生,
290802,經保存處理的扁豆,
290802,經保存處理的洋蔥,
290802,經保存處理的豌豆,
290802,經保存處理的橄欖,
290802,經保存處理的豆,
290802,經保存處理的堅果,
290802,經保存處理的蘑菇,
290802,蘋果泥,
290802,經保存處理的水果,
290802,經保存處理的蔬菜,
290802,烹調過的蔬菜,
290802,加工過的種子,
290802,龍眼肉,
290802,龍眼乾,
290803,蔭瓜,
290803,泡菜,
290803,韓國泡菜,
290803,花瓜,
290803,蔭薑,
290803,醬菜,
290803,黃蘿蔔,
290803,醃漬筍,
290803,豆腐乳,
290803,麻油辣腐乳,
290803,豆豉,
290803,醃漬果蔬,
290803,納豆,
290803,蘿蔔乾,
290803,海苔醬,
290803,紫菜醬,
290803,醃漬菜,
290803,醃漬小黃瓜,
290803,經保存處理的松露,
290803,加工過的花生,
290803,經保存處理的扁豆,
290803,經保存處理的洋蔥,
290803,經保存處理的豌豆,
290803,經保存處理的橄欖,
290803,經保存處理的豆,
290803,經保存處理的堅果,
290803,經保存處理的蘑菇,
290803,剝皮辣椒,
290803,經保存處理的水果,
290803,經保存處理的蔬菜,
290803,烹調過的蔬菜,
290803,加工過的種子,
290803,醃製大蒜,
290804,蔬菜速食調理包,
290805,蔬菜湯,
290805,紫菜湯,
290805,湯,
290805,蕃茄濃湯,
290805,玉米濃湯,
290805,蔬菜湯料,
2910,花生湯,
2910,花生仁湯,
2910,紅豆湯,
2910,綠豆湯,
2910,蕃薯湯,
2910,桂圓湯,
2911,鳥蛋,
2911,雞蛋,
2911,鴨蛋,
2911,皮蛋,
2911,鹹蛋,
2911,鴿蛋,
2911,鵝蛋,
2911,滷蛋,
2911,蛋粉,
2911,烏魚子,
2911,魚卵,
2911,魚子醬,
2911,加工過的魚卵,
2911,茶葉蛋,
2911,鐵蛋,
2911,鱉蛋,
2911,蛋卵,
2911,食用蝸牛蛋,
2911,蛋,
2911,蛋白,
2911,烹飪用蛋白,
2911,蛋黃,
2911,烹飪用卵磷脂,
291401,豆腐,
291401,豆乾,
291401,豆腐皮,
291401,麵麶,
291401,麵筋,
291401,人造肉,
291401,豆枝,
291401,豆包,
291401,臭豆腐,
291401,豆絲,
291401,豆皮,
291401,滷豆乾,
291401,素魚,
291401,素肉,
291401,素雞,
291401,素鴨,
291401,素丸子,
291402,人造肉速食調理包,
291403,素食高湯,
291403,湯,
2916,食用乾製花草,
2916,乾製桂花,
2916,桂花釀,
2917,食用燕窩 ,
2917,乾燕窩,
2918,香鬆,
2918,海苔香鬆,
2918,鰹魚香鬆,
2919,食用花粉,
2919,食用植物濃縮物 ,
