group_code,name
250101,胸衣
250101,無袖胸衣
250101,胸罩
250101,束褲
250101,束腹
250101,束腹內衣
250101,束腰
250101,睡衣
250101,浴袍
250101,襯裙
250101,長襯裙
250101,罩杯
250101,肚兜
250101,紙褲
250101,紙衣
250101,汗衫
250101,胸罩襯墊
250101,泳裝
250101,泳衣
250101,泳褲
250101,海灘裝
250101,背心
250101,無袖罩衫背心
250101,毛衣
250101,套頭毛衣
250101,羊毛上衣
250101,襯衫
250101,Ｔ恤
250101,內衣
250101,內褲
250101,吸汗內衣
250101,女用連衫襯褲
250101,連衫褲
250101,女用貼身內衣
250101,緊身褡
250101,馬甲
250101,針織衣服
250101,緊身內衣
250101,護衣汗墊
250102,西裝
250102,童裝
250102,套裝
250102,褲裙
250102,洋裝
250102,禮服
250102,連衣裙
250102,裙子
250102,褲子
250102,馬褲
250102,孕婦裝
250102,緊身褲
250102,緊身衣
250102,工作服
250102,初生嬰兒服
250102,嬰兒褲
250102,羽毛衣
250102,休閒服
250102,韻律服
250102,大衣
250102,外套
250102,寬外袍
250102,夾克
250102,毛呢夾克
250102,披風
250102,披肩
250102,女用短毛皮披肩
250102,女用毛皮披肩
250102,小披肩
250102,斗篷
250102,皮製長大衣
250102,毛皮衣服
250102,運動服
250102,防水衣服
250102,學生服
250102,皮衣
250102,人造皮衣
250102,制服
250102,跳傘衣
250102,服裝
250102,女裝
250102,袖套
250102,成衣
250102,男裝
250102,外衣
250102,牛仔服裝
250102,帶兜帽的大衣
250102,滑水裝
250102,亞麻布製衣服
250102,體操服
250102,自行車騎士服
250102,摩托車騎士服
250102,汽車駕駛服裝
250102,釣魚背心
250102,衣服
250102,袖口
250102,活動衣領
250102,衣領
250102,分離式衣領
250102,衣服襯裏
250102,襯衫覆肩
250102,護領
250102,服裝口袋
250102,襯衫前胸
250103,棉襖
250103,馬褂
250103,旗袍
250103,戲服
250103,和服
250103,寬鬆長袍
250103,化裝舞會服裝
250103,十字褡
250103,彌撒帶
250103,袈裟
250103,新娘禮服
250103,婚紗
250103,新娘頭紗
250103,連披肩之頭紗
250103,印度莎麗服
250103,民俗服裝
250103,慶典儀式服裝
250103,紗籠
250105,雨衣
2503,女鞋
2503,男鞋
2503,鞋
2503,涼鞋
2503,海灘涼鞋
2503,游泳用涼鞋
2503,浴室用涼鞋
2503,針茅草鞋
2503,針茅涼鞋
2503,拖鞋
2503,游泳用拖鞋
2503,浴室用拖鞋
2503,雨鞋
2503,布鞋
2503,皮鞋
2503,木屐
2503,運動鞋
2503,草地曲棍球鞋
2503,運動用靴
2503,滑雪靴
2503,休閒鞋
2503,海灘鞋
2503,嬰兒鞋
2503,鞋底
2503,鞋墊
2503,鞋襯
2503,鞋面
2503,鞋跟
2503,鞋幫
2503,靴幫
2503,鞋尖
2503,鞋舌
2503,鞋弓
2503,鞋中底
2503,鞋套
2503,釘鞋
2503,童鞋
2503,靴
2503,足球鞋
2503,足球靴
2503,繫帶靴
2503,半筒靴
2503,體操鞋
2503,木鞋
2503,鞋用接縫滾邊
2503,高筒橡膠套鞋
2503,套鞋
2503,鞋釘
2503,足球鞋釘
2503,鞋用防滑器
2503,靴用金屬配件
2503,鞋用金屬配件
2503,鞋用鐵製配件
250401,包頭巾
250401,纏頭巾
250401,束髮巾
250401,圍巾
250401,女用圍巾
250401,頭巾
250401,領巾
250401,頸巾
250401,絲巾
250401,面紗
250401,印度紮染巾
250402,領帶
250402,領結
250402,領帶蝴蝶結
250402,服飾用袋口方巾
2505,圍兜
2505,非紙製圍兜
2505,肚圍
2506,浴帽
2506,大禮帽
2506,帽舌
2506,製帽用帽舌
2506,兜帽
2506,運動帽
2506,游泳帽
2506,無邊帽
2506,護士帽
2506,學士帽
2506,禦寒用耳罩
2506,佛帽
2506,帽子
2506,冠帽
2506,貝雷帽
2506,帽框
2506,泳帽
2506,主教冠帽
2506,服飾用紙帽
2510,襪子
2510,褲襪
2510,絲襪
2510,吊襪帶
2510,襪套
2510,長襪
2510,吸汗長襪
2510,襪帶
2510,長襪用底
2510,非電熱式暖腳套
2510,綁腿
2510,綁腿帶
2510,暖腿套
2511,服飾用手套
2511,禦寒用手套
2511,滑雪用手套
2511,服飾用暖手筒
2511,服飾用連指手套
2512,腰帶
2512,服飾用皮帶
2512,服飾用置錢腰帶
2512,吊褲帶
2512,肩帶
2512,皮帶
2515,圍裙
2517,睡眠用眼罩
