0401,皮革保護油
0401,皮革用油脂
0401,靴用油脂
0401,鞋用油脂
0402,潤滑油
0402,太古油
0402,齒輪油
0402,油精
0402,石油醚
0402,機油
0402,壓縮機油
0402,循環油
0402,皮帶用油脂
0402,淬火油
0402,工業用牛油
0402,工業用凡士林
0402,工業用油脂
0402,工業用油
0402,潤滑油脂
0402,工業用蓖麻油
0402,研磨油
0402,淨化油
0402,硅酮油
0402,二甲苯
0402,工業用骨油
0402,工業用油菜油
0402,工業用葵花油
0402,工業用葵花籽油
0402,磚石建築保護用油
0402,羊毛脂
0402,動物脂
0402,兵器用油脂
0402,石腦油
0402,煤石腦油
0402,非食用魚油
0402,紡織用油
0402,硬脂
0402,潤滑石墨
0402,混合二甲苯
0402,濕潤油
0402,漆油
0402,切削液
0402,發動機燃料用非化學添加油
0402,礦物油
0402,金屬加工油
0402,皮帶用防滑劑
0402,油酸脂
0402,炊具防黏用豆油
0402,粗製苯
0402,建築用脫模油
0402,煤炭焦油
0402,煤焦油
0402,苯
0403,燃料
0403,氣體燃料
0403,固態化氣體燃料
0403,液體燃料
0403,瓦斯
0403,天然氣
0403,煤氣
0403,揮發性燃料混合物
0403,石油
0403,原油
0403,未加工的石油
0403,已精煉的石油
0403,汽油
0403,柴油
0403,輕石油
0403,重油
0403,煤油
0403,燃料油
0403,發動機用燃料
0403,酒精燃料
0403,乙醇燃料
0403,照明燃料
0403,供照明用氣體
0403,照明用油脂
0403,照明用酥油
0403,酥油燈
0403,照明用蠟
0403,礦物燃料
0403,生物燃料
0403,生質柴油
0404,焦炭
0404,煤磚
0404,煤炭
0404,燃料用煤灰
0404,褐煤
0404,易燃煤球
0404,木炭
0404,木炭磚
0404,火種
0404,泥煤
0404,點火用木片
0404,點火用紙捻
0404,木柴
0404,增碳劑
0404,泥煤球
0404,泥煤塊
0404,無煙煤
0404,礦物燃料
0405,蠟燭
0405,芳香蠟燭
0405,小蠟燭
0405,聖誕樹用蠟燭
0405,藝術蠟燭
0405,燈用燈芯
0405,蠟燭用燈芯
0405,照明用酥油
0405,酥油燈
0406,除塵黏結劑
0406,除塵合成製劑
0406,除塵製劑
0406,灰塵吸收劑
0406,灰塵濕潤劑
0406,灰塵黏著劑
0407,棕櫚蠟
0407,石蠟
0407,地蠟
0407,蜂蠟
0407,白蠟
0407,工業用蠟
0407,蠟
0407,皮帶用蠟
0408,電能
